"Method","Ontology","Term_ID","Term_Description","Annotated","Significant","Expected","p_value"
"gProfiler2","Gene Ontology (BP)","GO:0048699","generation of neurons",1429,14,1.78,1.87191484439987e-06
"gProfiler2","Gene Ontology (BP)","GO:0048666","neuron development",1085,12,1.35,9.42112515825307e-06
"gProfiler2","Gene Ontology (BP)","GO:0030182","neuron differentiation",1346,13,1.67,9.82854389296335e-06
"gProfiler2","Gene Ontology (BP)","GO:0022008","neurogenesis",1675,14,2.08,1.4197930323797e-05
"gProfiler2","Gene Ontology (BP)","GO:0031175","neuron projection development",928,11,1.15,2.21395036168256e-05
"gProfiler2","Gene Ontology (BP)","GO:0051128","regulation of cellular component organization",2233,15,2.77,6.79460365545437e-05
"gProfiler2","Gene Ontology (BP)","GO:0007399","nervous system development",2297,15,2.85,9.85498824014485e-05
"gProfiler2","Gene Ontology (BP)","GO:0008150","biological_process",23818,45,29.59,0.000222077178523878
"gProfiler2","Gene Ontology (BP)","GO:0000902","cell morphogenesis",920,10,1.14,0.000246476256960823
"gProfiler2","Gene Ontology (BP)","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels",118,5,0.15,0.000584698344572861
"gProfiler2","Gene Ontology (BP)","GO:0048468","cell development",2843,15,3.53,0.00154098037283767
"gProfiler2","Gene Ontology (BP)","GO:0120036","plasma membrane bounded cell projection organization",1431,11,1.78,0.00169276458225027
"gProfiler2","Gene Ontology (BP)","GO:0030030","cell projection organization",1476,11,1.83,0.00228835041935901
"gProfiler2","Gene Ontology (BP)","GO:0007275","multicellular organism development",4510,18,5.6,0.00522631146347367
"gProfiler2","Gene Ontology (BP)","GO:0048667","cell morphogenesis involved in neuron differentiation",533,7,0.66,0.00638727549016468
"gProfiler2","Gene Ontology (BP)","GO:0048856","anatomical structure development",5688,20,7.07,0.00824669716681039
"gProfiler2","Gene Ontology (BP)","GO:0071840","cellular component organization or biogenesis",6810,22,8.46,0.00859595010924047
"gProfiler2","Gene Ontology (BP)","GO:0032502","developmental process",6269,21,7.79,0.00908675089953843
"gProfiler2","Gene Ontology (BP)","GO:0048812","neuron projection morphogenesis",576,7,0.72,0.0105952017940244
"gProfiler2","Gene Ontology (BP)","GO:0120039","plasma membrane bounded cell projection morphogenesis",591,7,0.73,0.0125202151382902
"gProfiler2","Gene Ontology (BP)","GO:0048858","cell projection morphogenesis",597,7,0.74,0.0133675828234556
"gProfiler2","Gene Ontology (BP)","GO:0030154","cell differentiation",4323,17,5.37,0.0134987555950323
"gProfiler2","Gene Ontology (BP)","GO:0048869","cellular developmental process",4324,17,5.37,0.0135408225716716
"gProfiler2","Gene Ontology (BP)","GO:0065007","biological regulation",12293,30,15.27,0.0160930359120515
"gProfiler2","Gene Ontology (BP)","GO:0010975","regulation of neuron projection development",406,6,0.5,0.0170196702181161
"gProfiler2","Gene Ontology (BP)","GO:0016043","cellular component organization",6624,21,8.23,0.0220032653969279
"gProfiler2","Gene Ontology (BP)","GO:0065008","regulation of biological quality",2723,13,3.38,0.0290566758476264
"gProfiler2","Gene Ontology (BP)","GO:0050789","regulation of biological process",11935,29,14.83,0.0309049711801742
"gProfiler2","Gene Ontology (BP)","GO:0009987","cellular process",19262,38,23.93,0.0327083162029932
"gProfiler2","Gene Ontology (BP)","GO:0021696","cerebellar cortex morphogenesis",44,3,0.05,0.0358673732732676
