"Method","Ontology","Term_ID","Term_Description","Annotated","Significant","Expected","p_value"
"topGO","Gene Ontology (BP)","GO:0000395","mRNA 5'-splice site recognition",182,125,51.36,7.7e-30
"topGO","Gene Ontology (BP)","GO:0090304","nucleic acid metabolic process",6666,2214,1881.2,1.7e-26
"topGO","Gene Ontology (BP)","GO:0045292","mRNA cis splicing, via spliceosome",208,131,58.7,1.3e-25
"topGO","Gene Ontology (BP)","GO:0006376","mRNA splice site recognition",203,127,57.29,1.7e-24
"topGO","Gene Ontology (BP)","GO:0000245","spliceosomal complex assembly",268,153,75.63,2.8e-23
"topGO","Gene Ontology (BP)","GO:0065003","protein-containing complex assembly",2337,867,659.52,6.2e-23
"topGO","Gene Ontology (BP)","GO:0009058","biosynthetic process",10032,3157,2831.11,8.8e-22
"topGO","Gene Ontology (BP)","GO:0140241","translation at synapse",48,45,13.55,1.1e-21
"topGO","Gene Ontology (BP)","GO:0140242","translation at postsynapse",48,45,13.55,1.1e-21
"topGO","Gene Ontology (BP)","GO:0140236","translation at presynapse",47,44,13.26,3.7e-21
"topGO","Gene Ontology (BP)","GO:0006139","nucleobase-containing compound metabolic...",7266,2349,2050.52,8.3e-21
"topGO","Gene Ontology (BP)","GO:0043933","protein-containing complex organization",2541,914,717.09,1.4e-19
"topGO","Gene Ontology (BP)","GO:1901740","negative regulation of myoblast fusion",50,44,14.11,1.4e-18
"topGO","Gene Ontology (BP)","GO:0010608","post-transcriptional regulation of gene ...",892,370,251.73,3.3e-18
"topGO","Gene Ontology (BP)","GO:0034242","negative regulation of syncytium formati...",53,45,14.96,1.2e-17
"topGO","Gene Ontology (BP)","GO:1990830","cellular response to leukemia inhibitory...",291,150,82.12,3e-17
"topGO","Gene Ontology (BP)","GO:1990823","response to leukemia inhibitory factor",293,150,82.69,6.6e-17
"topGO","Gene Ontology (BP)","GO:0060291","long-term synaptic potentiation",246,128,69.42,2.4e-15
"topGO","Gene Ontology (BP)","GO:1901739","regulation of myoblast fusion",68,50,19.19,1.2e-14
"topGO","Gene Ontology (BP)","GO:0050806","positive regulation of synaptic transmis...",334,157,94.26,1.7e-13
"topGO","Gene Ontology (BP)","GO:0043170","macromolecule metabolic process",11178,3397,3154.52,1.1e-12
