"Term_ID","Term_Description","clusterProfiler_pvalue","clusterProfiler_sig_count","gProfiler2_pvalue","gProfiler2_sig_count","topGO_pvalue","topGO_sig_count","methods_included","methods_significant","mean_p_value"
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels",2.31717609661864e-08,7,0.000584698344572861,5,NA,NA,2,2,0.000292360758166914
"GO:0021761","limbic system development",0.00179985960956822,3,NA,NA,0.00195,70,2,2,0.00187492980478411
"GO:0051146","striated muscle cell differentiation",0.000678059557552175,5,NA,NA,0.01582,177,2,2,0.00824902977877609
"GO:1990034","calcium ion export across plasma membrane",0.000162090471928707,2,NA,NA,0.02213,8,2,2,0.0111460452359644
"GO:0021696","cerebellar cortex morphogenesis",8.61775681719866e-05,3,0.0358673732732676,3,NA,NA,2,2,0.0179767754207198
"GO:0000395","mRNA 5'-splice site recognition",NA,NA,NA,NA,1.7e-29,144,1,1,1.7e-29
"GO:0032774","RNA biosynthetic process",NA,NA,NA,NA,1.5e-26,2597,1,1,1.5e-26
"GO:0010467","gene expression",NA,NA,NA,NA,1.1e-25,3659,1,1,1.1e-25
"GO:0141187","nucleic acid biosynthetic process",NA,NA,NA,NA,6.7e-25,2627,1,1,6.7e-25
"GO:0034654","nucleobase-containing compound biosynthe...",NA,NA,NA,NA,6.3e-24,2741,1,1,6.3e-24
"GO:0045292","mRNA cis splicing, via spliceosome",NA,NA,NA,NA,7.4e-24,151,1,1,7.4e-24
"GO:0016070","RNA metabolic process",NA,NA,NA,NA,2.2e-23,2663,1,1,2.2e-23
"GO:0006376","mRNA splice site recognition",NA,NA,NA,NA,1.9e-22,146,1,1,1.9e-22
"GO:0000245","spliceosomal complex assembly",NA,NA,NA,NA,2.3e-21,179,1,1,2.3e-21
"GO:0065003","protein-containing complex assembly",NA,NA,NA,NA,1.1e-20,1104,1,1,1.1e-20
"GO:0009059","macromolecule biosynthetic process",NA,NA,NA,NA,6.4e-20,3775,1,1,6.4e-20
"GO:0090304","nucleic acid metabolic process",NA,NA,NA,NA,9.8e-17,2831,1,1,9.8e-17
"GO:1901740","negative regulation of myoblast fusion",NA,NA,NA,NA,1.2e-16,47,1,1,1.2e-16
"GO:0043933","protein-containing complex organization",NA,NA,NA,NA,1.3e-16,1165,1,1,1.3e-16
"GO:0140241","translation at synapse",NA,NA,NA,NA,7e-16,45,1,1,7e-16
"GO:0140242","translation at postsynapse",NA,NA,NA,NA,7e-16,45,1,1,7e-16
"GO:0140236","translation at presynapse",NA,NA,NA,NA,1.7e-15,44,1,1,1.7e-15
"GO:0034242","negative regulation of syncytium formati...",NA,NA,NA,NA,2.5e-15,48,1,1,2.5e-15
"GO:1990830","cellular response to leukemia inhibitory...",NA,NA,NA,NA,7.2e-14,174,1,1,7.2e-14
"GO:0010608","post-transcriptional regulation of gene ...",NA,NA,NA,NA,1.1e-13,448,1,1,1.1e-13
"GO:1990823","response to leukemia inhibitory factor",NA,NA,NA,NA,1.7e-13,174,1,1,1.7e-13
"GO:0060291","long-term synaptic potentiation",NA,NA,NA,NA,4.1e-13,150,1,1,4.1e-13
"GO:0006139","nucleobase-containing compound metabolic...",NA,NA,NA,NA,5.9e-13,3029,1,1,5.9e-13
"GO:0009058","biosynthetic process",NA,NA,NA,NA,2e-12,4099,1,1,2e-12
"GO:1901739","regulation of myoblast fusion",NA,NA,NA,NA,4.9e-12,54,1,1,4.9e-12
"GO:0015986","proton motive force-driven ATP synthesis",NA,NA,NA,NA,6.9e-12,55,1,1,6.9e-12
"GO:0060142","regulation of syncytium formation by pla...",NA,NA,NA,NA,2.6e-11,60,1,1,2.6e-11
"GO:0048167","regulation of synaptic plasticity",NA,NA,NA,NA,3e-11,216,1,1,3e-11
"GO:0042776","proton motive force-driven mitochondrial...",NA,NA,NA,NA,1.2e-10,51,1,1,1.2e-10
"GO:0050806","positive regulation of synaptic transmis...",NA,NA,NA,NA,1.4e-10,185,1,1,1.4e-10
"GO:0006119","oxidative phosphorylation",NA,NA,NA,NA,1.5e-08,89,1,1,1.5e-08
"GO:0006754","ATP biosynthetic process",NA,NA,NA,NA,1.7e-07,66,1,1,1.7e-07
"GO:0071229","cellular response to acid chemical",NA,NA,NA,NA,2.7e-07,112,1,1,2.7e-07
"GO:0043170","macromolecule metabolic process",NA,NA,NA,NA,2.9e-07,4468,1,1,2.9e-07
"GO:0071230","cellular response to amino acid stimulus",NA,NA,NA,NA,3.2e-07,108,1,1,3.2e-07
"GO:0099537","trans-synaptic signaling",NA,NA,NA,NA,3.3e-07,449,1,1,3.3e-07
"GO:0002250","adaptive immune response",NA,NA,NA,NA,4.1e-07,356,1,1,4.1e-07
"GO:0000768","syncytium formation by plasma membrane f...",NA,NA,NA,NA,4.7e-07,72,1,1,4.7e-07
"GO:0140253","cell-cell fusion",NA,NA,NA,NA,4.7e-07,72,1,1,4.7e-07
"GO:0007520","myoblast fusion",NA,NA,NA,NA,4.8e-07,62,1,1,4.8e-07
"GO:0009206","purine ribonucleoside triphosphate biosy...",NA,NA,NA,NA,4.8e-07,70,1,1,4.8e-07
"GO:0007268","chemical synaptic transmission",NA,NA,NA,NA,5.7e-07,444,1,1,5.7e-07
"GO:0098916","anterograde trans-synaptic signaling",NA,NA,NA,NA,5.7e-07,444,1,1,5.7e-07
"GO:0099536","synaptic signaling",NA,NA,NA,NA,6.2e-07,468,1,1,6.2e-07
"GO:0022904","respiratory electron transport chain",NA,NA,NA,NA,7.4e-07,72,1,1,7.4e-07
"GO:0009145","purine nucleoside triphosphate biosynthe...",NA,NA,NA,NA,7.6e-07,70,1,1,7.6e-07
"GO:0002181","cytoplasmic translation",NA,NA,NA,NA,7.7e-07,129,1,1,7.7e-07
"GO:0050804","modulation of chemical synaptic transmis...",NA,NA,NA,NA,8.1e-07,361,1,1,8.1e-07
"GO:0071234","cellular response to phenylalanine",NA,NA,NA,NA,9.1e-07,21,1,1,9.1e-07
"GO:0080053","response to phenylalanine",NA,NA,NA,NA,9.1e-07,21,1,1,9.1e-07
"GO:0099177","regulation of trans-synaptic signaling",NA,NA,NA,NA,9.4e-07,361,1,1,9.4e-07
"GO:0006949","syncytium formation",NA,NA,NA,NA,1.2e-06,72,1,1,1.2e-06
"GO:0001101","response to acid chemical",NA,NA,NA,NA,1.4e-06,134,1,1,1.4e-06
"GO:0009201","ribonucleoside triphosphate biosynthetic...",NA,NA,NA,NA,1.8e-06,71,1,1,1.8e-06
"GO:0048699","generation of neurons",NA,NA,1.87191484439987e-06,14,NA,NA,1,1,1.87191484439987e-06
"GO:0043200","response to amino acid",NA,NA,NA,NA,3.1e-06,125,1,1,3.1e-06
"GO:0022900","electron transport chain",NA,NA,NA,NA,3.9e-06,74,1,1,3.9e-06
"GO:0009142","nucleoside triphosphate biosynthetic pro...",NA,NA,NA,NA,6e-06,73,1,1,6e-06
"GO:0042308","negative regulation of protein import into nucleus",7.44315412620812e-06,3,NA,NA,NA,NA,1,1,7.44315412620812e-06
"GO:0019646","aerobic electron transport chain",NA,NA,NA,NA,8.9e-06,43,1,1,8.9e-06
"GO:0048666","neuron development",NA,NA,9.42112515825307e-06,12,NA,NA,1,1,9.42112515825307e-06
"GO:0030182","neuron differentiation",NA,NA,9.82854389296335e-06,13,NA,NA,1,1,9.82854389296335e-06
"GO:0022008","neurogenesis",NA,NA,1.4197930323797e-05,14,NA,NA,1,1,1.4197930323797e-05
"GO:0019731","antibacterial humoral response",NA,NA,NA,NA,2.1e-05,60,1,1,2.1e-05
"GO:0007605","sensory perception of sound",NA,NA,NA,NA,2.1e-05,140,1,1,2.1e-05
"GO:0031175","neuron projection development",NA,NA,2.21395036168256e-05,11,NA,NA,1,1,2.21395036168256e-05
"GO:0042773","ATP synthesis coupled electron transport",NA,NA,NA,NA,2.7e-05,47,1,1,2.7e-05
"GO:0042775","mitochondrial ATP synthesis coupled elec...",NA,NA,NA,NA,2.7e-05,46,1,1,2.7e-05
"GO:0046823","negative regulation of nucleocytoplasmic transport",3.11382418758642e-05,3,NA,NA,NA,NA,1,1,3.11382418758642e-05
"GO:0090317","negative regulation of intracellular protein transport",5.41550096063588e-05,3,NA,NA,NA,NA,1,1,5.41550096063588e-05
"GO:0006941","striated muscle contraction",NA,NA,NA,NA,6.6e-05,121,1,1,6.6e-05
"GO:0051128","regulation of cellular component organization",NA,NA,6.79460365545437e-05,15,NA,NA,1,1,6.79460365545437e-05
"GO:0014902","myotube differentiation",NA,NA,NA,NA,7.2e-05,99,1,1,7.2e-05
"GO:0022607","cellular component assembly",NA,NA,NA,NA,9.8e-05,1664,1,1,9.8e-05
"GO:0007399","nervous system development",NA,NA,9.85498824014485e-05,15,NA,NA,1,1,9.85498824014485e-05
"GO:0099633","protein localization to postsynaptic specialization membrane",0.000115318671087458,3,NA,NA,NA,NA,1,1,0.000115318671087458
"GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane",0.000115318671087458,3,NA,NA,NA,NA,1,1,0.000115318671087458
